Title	URL	Author	Price
Home Automation For Dummies	/Home-Automation-Dummies-Dwight-Spivey-ebook/dp/B00SZ633F0/ref=sr_1_66?keywords=automation&qid=1555061394&s=books&sr=1-66	by Dwight Spivey  | Feb 9, 2015	$13
.			
"00"""			
The Sales Funnel Book: How To Multiply Your Business With Marketing Automation	/Sales-Funnel-Book-Marketing-Automation-ebook/dp/B06X9BGWC5/ref=sr_1_67?keywords=automation&qid=1555061394&s=books&sr=1-67	by Nathan Williams  | Feb 21, 2017	$0
.			
"00"""			
Stop Coding: Learn to test automate without coding and get that automation testing job	/Stop-Coding-automate-without-automation-ebook/dp/B07B74V474/ref=sr_1_68?keywords=automation&qid=1555061394&s=books&sr=1-68	by Ajamo Adams | Mar 3, 2018	$0
.			
"00"""			
Think Outside the Inbox: The B2B Marketing Automation Guide	/Think-Outside-Inbox-Marketing-Automation-ebook/dp/B003PPCUDW/ref=sr_1_69?keywords=automation&qid=1555061394&s=books&sr=1-69	by David Cummings and Adam Blitzer | Apr 1, 2010	$9
.			
"99"""			
Marketing Automation Foundation: Eliminating Unproductive Marketing	/Marketing-Automation-Foundation-Eliminating-Unproductive-ebook/dp/B071VQLDRC/ref=sr_1_70?keywords=automation&qid=1555061394&s=books&sr=1-70	by Steve Thomas and Brian Thomas | May 13, 2017	$0
.			
"00"""			
Absolute Beginner (Part 1) Java 4 Selenium WebDriver: Come Learn How To Program For Automation Testing	/Absolute-Beginner-Part-Selenium-WebDriver-ebook/dp/B01CO4E000/ref=sr_1_71?keywords=automation&qid=1555061394&s=books&sr=1-71	by Rex Allen Jones II  | Mar 6, 2016	$0
.			
"00"""			
Future Automation: Changes to Lives and to Businesses (Advances and Opportunities With Big Data and Analytics)	/Future-Automation-Businesses-Opportunities-Analytics/dp/9813142332/ref=sr_1_72?keywords=automation&qid=1555061394&s=books&sr=1-72	by Timothy E Carone | Nov 30, 2018	$36
.			
"30"""			
Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation (Addison-Wesley Signature Series (Fowler))	/Continuous-Delivery-Deployment-Automation-Addison-Wesley/dp/0321601912/ref=sr_1_73?keywords=automation&qid=1555061394&s=books&sr=1-73	by Jez Humble and David Farley  | Aug 6, 2010	$43
.			
"75"""			
Post-parametric Automation in Design and Construction	/Post-parametric-Automation-Design-Construction-Alfredo/dp/1608076938/ref=sr_1_74?keywords=automation&qid=1555061394&s=books&sr=1-74	by Alfredo Andia and Thomas Spiegelhalter  | Nov 16, 2014	$109
.			
"00"""			
Advances in Missile Guidance, Control, and Estimation (Automation and Control Engineering)	/Advances-Guidance-Estimation-Automation-Engineering/dp/1420083139/ref=sr_1_75?keywords=automation&qid=1555061394&s=books&sr=1-75	by S.N. Balakrishnan, A. Tsourdos, et al.	
Conversion: How to Convert Prospects Into Customers Using Targeted, Personalised Marketing Automation Strategies	/Conversion-Prospects-Personalised-Automation-Strategies-ebook/dp/B01MSLZ3FF/ref=sr_1_76?keywords=automation&qid=1555061394&s=books&sr=1-76	by Justine Coombe | Nov 14, 2016	$9
.			
"99"""			
BACnet: The Global Standard for Building Automation and Control Networks (Sustainable Energy)	/BACnet-Standard-Building-Automation-Sustainable/dp/1606502883/ref=sr_1_77?keywords=automation&qid=1555061394&s=books&sr=1-77	by Michael H. Newman | Jun 1, 2013	$96
.			
"48"""			
Raspberry Pi Home Automation with Arduino - Second Edition	/Raspberry-Pi-Home-Automation-Arduino/dp/1784399205/ref=sr_1_78?keywords=automation&qid=1555061394&s=books&sr=1-78	by Andrew K. Dennis | Feb 25, 2015	$24
.			
"99"""			
Modern Business Process Automation: YAWL and its Support Environment	/Modern-Business-Process-Automation-Environment-ebook/dp/B00FC8TRFO/ref=sr_1_79?keywords=automation&qid=1555061394&s=books&sr=1-79	by Arthur H. M. ter Hofstede, Wil M. P. van der Aalst, et al. | Nov 18, 2009	$61
.			
"17"""			
Automation vs. Autocracy: Robogeddon En Route	/Automation-vs-Autocracy-Robogeddon-Route/dp/1980715270/ref=sr_1_80?keywords=automation&qid=1555061394&s=books&sr=1-80	by Atif A K | Apr 1, 2018	$15
.			
"00"""			
Automation vs. Autocracy: Robogeddon En Route	/Automation-vs-Autocracy-Robogeddon-Route/dp/1980715270/ref=sr_1_81?keywords=automation&qid=1555061398&s=books&sr=1-81	by Atif A K | Apr 1, 2018	$15
.			
"00"""			
Home Automation Made Easy: Do It Yourself Know How Using UPB, Insteon, X10 and Z-Wave	/Home-Automation-Made-Easy-Yourself/dp/0789751240/ref=sr_1_82?keywords=automation&qid=1555061398&s=books&sr=1-82	by Dennis C. Brewer  | Nov 17, 2013	$29
.			
"45"""			
Automate and Grow: A Blueprint for Startups, Small and Medium Businesses to Automate Marketing, Sales and Customer Support	/Automate-Grow-Blueprint-Businesses-Marketing/dp/1977842216/ref=sr_1_83?keywords=automation&qid=1555061398&s=books&sr=1-83	by Michael Devellano  | Sep 7, 2017	$12
.			
"99"""			
Cognitive Automation Primer: The World of Machine Learning	/Cognitive-Automation-Primer-Machine-Learning-ebook/dp/B01L0PRSJO/ref=sr_1_84?keywords=automation&qid=1555061398&s=books&sr=1-84	by Israel del Rio | Aug 24, 2016	$29
.			
"99"""			
Industrial Automation and Control Systems Security Principles, Second Edition	/Industrial-Automation-Control-Security-Principles/dp/194154682X/ref=sr_1_85?keywords=automation&qid=1555061398&s=books&sr=1-85	by Ronald L. Krutz PhD PE	
BMC Control-M 7: A Journey from Traditional Batch Scheduling to Workload Automation	/BMC-Control-M-Traditional-Scheduling-Automation-ebook/dp/B009OFEW9W/ref=sr_1_86?keywords=automation&qid=1555061398&s=books&sr=1-86	by Qiang Ding | Oct 10, 2012	$29
.			
"99"""			
Building Automation Integration with Open Protocols	/Building-Automation-Integration-Open-Protocols/dp/0826920128/ref=sr_1_87?keywords=automation&qid=1555061398&s=books&sr=1-87	by In Partnership with NJATC | Jan 1, 2009	$79
.			
"00"""			
Microsoft Azure Essentials Azure Automation	/Microsoft-Azure-Essentials-Automation-ebook/dp/B00WL2734G/ref=sr_1_88?keywords=automation&qid=1555061398&s=books&sr=1-88	by Michael McKeown | Apr 10, 2015	$0
.			
"00"""			
Practical Network Automation: Leverage the power of Python and Ansible to optimize your network	/Practical-Network-Automation-Leverage-optimize/dp/1788299469/ref=sr_1_89?keywords=automation&qid=1555061398&s=books&sr=1-89	by Abhishek Ratan | Nov 16, 2017	$39
.			
"99"""			
Aviation Automation: The Search for A Human-centered Approach (Human Factors in Transportation)	/Aviation-Automation-Human-centered-Approach-Transportation-ebook/dp/B079K23NS8/ref=sr_1_90?keywords=automation&qid=1555061398&s=books&sr=1-90	by Charles E. Billings | Jan 29, 2018	$69
.			
"59"""			
Take Control of Apple Home Automation	/Take-Control-Apple-Home-Automation-ebook/dp/B07BDPNJSC/ref=sr_1_91?keywords=automation&qid=1555061398&s=books&sr=1-91	by Josh Centers | Mar 8, 2018	$14
.			
"99"""			
Advanced WebLogic Server Automation: Administration and Monitoring with WLST and JMX (Oracle In-Focus Series) (Volume 46)	/Advanced-WebLogic-Server-Automation-Focus/dp/0991638611/ref=sr_1_92?keywords=automation&qid=1555061398&s=books&sr=1-92	by Martin Heinzl  | Jun 5, 2014	$49
.			
"95"""			
How to Setup a Raspberry Pi Web Server: Web Sites, Home Automation, Security Cameras and Email	/How-Setup-Raspberry-Web-Server/dp/1548690937/ref=sr_1_93?keywords=automation&qid=1555061398&s=books&sr=1-93	by Michael Wright | Jul 6, 2017	$39
.			
"99"""			
Software Testing Automation Tips: 50 Things Automation Engineers Should Know	/Software-Testing-Automation-Tips-Engineers/dp/1484231619/ref=sr_1_94?keywords=automation&qid=1555061398&s=books&sr=1-94	by Gennadiy Alpaev | Oct 29, 2017	$24
.			
"99"""			
The Ultimate Guide to G Suite: Everything you need to set up and administer Google's apps for your business (Zapier App Guides Book 9)	/Ultimate-Guide-Suite-Everything-administer-ebook/dp/B071F5MTZ1/ref=sr_1_95?keywords=automation&qid=1555061398&s=books&sr=1-95	by Matthew Guay and Weston Thayer | May 12, 2017	$0
.			
"00"""			
Robotic Process Automation and Risk Mitigation: The Definitive Guide	/Robotic-Process-Automation-Risk-Mitigation/dp/0995682038/ref=sr_1_96?keywords=automation&qid=1555061398&s=books&sr=1-96		$25
.			
"65"""			
Automation Anywhere a Complete Guide - 2019 Edition	/Automation-Anywhere-Complete-Guide-2019/dp/065551273X/ref=sr_1_97?keywords=automation&qid=1555061401&s=books&sr=1-97	by Gerardus Blokdyk  | Dec 20, 2018	$89
.			
"00"""			
Quick and Practical Guide to ARM Templates: Become Experts in Developing ARM Templates for Azure without any prior knowledge	/Quick-Practical-Guide-ARM-Templates/dp/1980629757/ref=sr_1_98?keywords=automation&qid=1555061401&s=books&sr=1-98	by Aman Sharma  | Mar 22, 2018	$5
.			
"99"""			
The Glass Cage - Automation and US by Carr, Nicholas (2014) Paperback	/Glass-Cage-Automation-Nicholas-Paperback/dp/B011SJE3HM/ref=sr_1_99?keywords=automation&qid=1555061401&s=books&sr=1-99		
REI Automation Blueprint The A-Z Blueprint To Automate Your Real Estate Business: REI Automation Blueprint The A-Z Blueprint To Automate Your Real ... Brittney Calloway of Top Notch Consulting	/Automation-Blueprint-Automate-Estate-Business/dp/0692561196/ref=sr_1_100?keywords=automation&qid=1555061401&s=books&sr=1-100	by Brittney Calloway | Oct 20, 2015	$8
.			
"99"""			
